代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
603190,亚通精工,28.15,-0.64,41739.0,117308143.0,28.34,27.94,28.32,28.33,3505801000.0,1157403633.0,10.15,23.02,17.55,10.15,-0.04,3505801000.0,1157403633.0,29.21
600356,恒丰纸业,10.02,-0.69,65494.0,65946629.0,10.16,10.0,10.04,10.09,3301955770.0,2993288408.0,2.19,70.72,14.51,2.19,-0.1,3301955770.0,2993288408.0,28.2
600738,丽尚国潮,4.79,1.48,98979.0,47242496.0,4.82,4.71,4.72,4.72,3646795780.0,3643591079.0,1.3,126.02,14.85,1.3,-0.21,3646795780.0,3643591079.0,28.2
603900,莱绅通灵,7.93,1.02,81211.0,64235015.0,7.95,7.84,7.88,7.85,2719703251.0,2717800051.0,2.37,132.4100554343,12.71,2.37,0.0,2719703251.0,2717800051.0,28.2
002286,保龄宝,10.34,2.78,108181.0,110711752.17,10.36,10.02,10.06,10.06,3935066709.0,3822590133.0,2.93,35.5,18.17,2.93,0.0,3935066709.0,3822590133.0,27.8
603080,新疆火炬,21.79,0.97,22184.0,48297767.0,21.89,21.58,21.6,21.58,3083285000.0,3083285000.0,1.57,34.43,17.09,1.57,-0.14,3083285000.0,3083285000.0,27.8
605259,绿田机械,19.77,0.05,12825.0,25238463.0,19.88,19.55,19.87,19.76,3409929600.0,3409929600.0,0.74,31.95,18.96,0.74,-0.15,3409929600.0,3409929600.0,27.8
001395,亚联机械,40.37,0.57,8504.0,34165977.0,40.41,39.81,40.01,40.14,3521878800.0,1892949300.0,1.81,20.93,18.72,1.81,0.0,3521878800.0,1892949300.0,27.8
002748,世龙实业,12.77,-0.93,43575.0,55620453.0,12.9,12.69,12.81,12.89,3064800000.0,3064800000.0,1.82,120.12,19.91,1.82,0.08,3064800000.0,3064800000.0,27.8
002942,新农股份,19.93,1.17,17245.0,34103292.25,20.08,19.5,19.74,19.7,3106248545.0,2765448594.0,1.24,65.27,16.84,1.24,0.2,3106248545.0,2765448594.0,27.8
300452,山河药辅,14.1,0.21,35100.0,49301813.53,14.11,13.97,14.04,14.07,3305803430.0,2800684354.0,1.77,47.84,17.56,1.77,0.0,3305803430.0,2800684354.0,27.8
000803,山高环能,8.57,-2.61,133819.0,115351338.63,8.78,8.55,8.78,8.8,3996158031.0,3940381275.0,2.91,132.39,22.84,2.91,0.12,3996158031.0,3940381275.0,27.4
603500,祥和实业,10.5,1.25,58031.0,60610093.0,10.56,10.29,10.34,10.37,3494297583.0,3492395225.0,1.74,78.31,22.22,1.74,0.1,3494297583.0,3492395225.0,27.4
603238,诺邦股份,16.09,1.45,23594.0,37612756.0,16.1,15.76,15.97,15.86,2856119810.0,2856119810.0,1.33,23.2,23.0,1.33,0.06,2856119810.0,2856119810.0,27.4
301283,聚胶股份,49.1,1.07,12802.0,62404340.75,49.22,48.13,48.54,48.58,3948515060.0,3106893335.0,2.02,144.63,24.84,2.02,0.0,3948515060.0,3106893335.0,27.4
605033,美邦股份,23.28,0.34,25991.0,60408466.0,23.37,23.06,23.2,23.2,3147456000.0,3147456000.0,1.92,32.03,22.09,1.92,-0.09,3147456000.0,3147456000.0,27.4
001228,永泰运,31.14,0.71,15489.0,47775848.98,31.16,30.42,30.77,30.92,3234343924.0,2486983924.0,1.94,21.73,23.4,1.94,0.13,3234343924.0,2486983924.0,27.4
603566,普莱柯,11.69,0.17,33517.0,39038462.0,11.7,11.6,11.63,11.67,4045467971.0,4045467971.0,0.97,99.33,24.83,0.97,0.0,4045467971.0,4045467971.0,27.4
001256,炜冈科技,25.45,1.23,25955.0,65722980.63,25.75,24.92,25.14,25.14,3629489601.0,2720924601.0,2.43,47.49,24.13,2.43,0.04,3629489601.0,2720924601.0,27.4
603856,东宏股份,13.03,0.77,42240.0,54617462.0,13.08,12.77,12.9,12.93,3675190462.0,3675190462.0,1.5,47.35,20.6,1.5,-0.08,3675190462.0,3675190462.0,27.4
603787,新日股份,12.21,2.18,60898.0,73339260.0,12.21,11.85,11.95,11.95,2810055676.0,2810055676.0,2.65,97.47,27.9,2.65,0.25,2810055676.0,2810055676.0,27.0
300515,三德科技,17.34,1.34,37508.0,64413991.8,17.36,16.97,17.28,17.11,3567783030.0,3498479819.0,1.86,28.2,26.92,1.86,-0.06,3567783030.0,3498479819.0,27.0
000407,胜利股份,4.67,0.86,179234.0,83686079.0,4.69,4.62,4.63,4.63,4109995344.0,4089868139.0,2.05,32.87,28.55,2.05,0.0,4109995344.0,4089868139.0,27.0
300534,陇神戎发,9.34,0.97,62159.0,57817415.0,9.35,9.25,9.28,9.25,2833242300.0,2821160898.0,2.06,79.56,28.72,2.06,0.11,2833242300.0,2821160898.0,27.0
300824,北鼎股份,10.16,0.79,38000.0,38455993.0,10.2,10.0,10.0,10.08,3315631489.0,3215744719.0,1.2,63.35,25.3,1.2,0.0,3315631489.0,3215744719.0,27.0
001218,丽臣实业,27.27,-0.15,48852.0,132762141.56,27.79,26.71,27.4,27.31,3549961150.0,3219528106.0,4.14,47.99,11.5,4.14,0.04,3549961150.0,3219528106.0,26.7
000692,惠天热电,5.14,-0.19,232513.0,119453609.26,5.22,5.08,5.12,5.15,2738761497.0,2738761497.0,4.36,83.63,13.89,4.36,0.19,2738761497.0,2738761497.0,26.7
603755,日辰股份,29.48,0.65,12724.0,37308356.0,29.55,29.07,29.29,29.29,2907131316.0,2907131316.0,1.29,31.87,39.94,1.29,0.17,2907131316.0,2907131316.0,26.599999999999998
002849,威星智能,17.34,0.23,57012.0,98924007.82,17.5,17.06,17.3,17.3,3825793837.0,3794799767.0,2.61,60.41,37.58,2.61,0.17,3825793837.0,3794799767.0,26.599999999999998
002817,黄山胶囊,8.22,1.23,67274.0,55128231.4,8.24,8.12,8.14,8.12,2458586957.0,2384123005.0,2.32,31.94,35.4,2.32,0.24,2458586957.0,2384123005.0,26.599999999999998
