代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
000692,惠天热电,4.01,-0.99,145321.0,57866010.3,4.1,3.88,4.1,4.05,2136660234.0,2136660234.0,2.73,30.37,10.83,2.73,0.0,2136660234.0,2136660234.0,28.2
603101,汇嘉时代,6.33,1.77,97038.0,60425672.0,6.37,6.0,6.25,6.22,2977632000.0,2977632000.0,2.06,60.05,11.55,2.06,0.0,2977632000.0,2977632000.0,28.2
001218,丽臣实业,22.61,-3.25,26660.0,60827230.76,23.65,22.26,23.21,23.37,2943330459.0,2669363054.0,2.26,32.41,9.53,2.26,0.22,2943330459.0,2669363054.0,28.2
300945,曼卡龙,10.83,0.65,66234.0,71265438.72,10.96,10.46,10.76,10.76,2838235742.0,2581874783.0,2.78,32.58,12.42,2.78,0.0,2838235742.0,2581874783.0,28.2
600638,新黄浦,4.55,2.48,145009.0,64548950.0,4.59,4.29,4.45,4.44,3063955376.0,3063955376.0,2.15,144.93,5.54,2.15,-0.44,3063955376.0,3063955376.0,28.2
600356,恒丰纸业,7.54,-0.26,48868.0,36527563.0,7.61,7.28,7.55,7.56,2484705240.0,2252434590.0,1.64,34.76,10.92,1.64,0.0,2484705240.0,2252434590.0,28.2
603080,新疆火炬,18.64,-0.75,22127.0,40831594.0,18.83,18.03,18.78,18.78,2637560000.0,2637560000.0,1.56,20.49,14.62,1.56,-0.05,2637560000.0,2637560000.0,28.2
002942,新农股份,14.6,0.07,16132.0,23255383.74,14.74,14.0,14.44,14.59,2270018512.0,2025868012.0,1.16,38.91,12.31,1.16,0.48,2270018512.0,2025868012.0,28.2
600354,敦煌种业,4.83,0.42,117567.0,56151704.0,4.86,4.65,4.78,4.81,2549284046.0,2549284046.0,2.23,106.98,13.49,2.23,0.21,2549284046.0,2549284046.0,28.2
605259,绿田机械,17.68,-1.23,15417.0,27020776.0,17.87,17.27,17.82,17.9,3049446400.0,3049446400.0,0.89,44.35,16.96,0.89,0.74,3049446400.0,3049446400.0,27.8
600778,友好集团,4.93,0.61,85631.0,41646064.0,4.99,4.71,4.95,4.9,1535652365.0,1534289368.0,2.75,26.33,18.17,2.75,-0.2,1535652365.0,1534289368.0,27.8
003017,大洋生物,21.49,-0.65,21395.0,45585104.0,21.61,21.02,21.6,21.63,2166192000.0,1786798643.0,2.57,56.12,17.54,2.57,0.0,2166192000.0,1786798643.0,27.8
688113,联测科技,34.23,-2.48,11304.0,38729431.0,35.38,33.64,35.03,35.1,2204328445.0,2204328445.0,1.76,36.54,19.4,1.76,-0.03,2204328445.0,2204328445.0,27.8
002748,世龙实业,10.71,1.42,46393.0,49141388.0,10.84,10.2,10.55,10.56,2570400000.0,2570400000.0,1.93,72.11,16.7,1.93,0.09,2570400000.0,2570400000.0,27.8
603839,安正时尚,5.94,0.51,56590.0,33089639.0,6.0,5.63,5.95,5.91,2298876228.0,2298876228.0,1.46,64.9126637417,18.91,1.46,0.68,2298876228.0,2298876228.0,27.8
301283,聚胶股份,24.99,0.2,11728.0,29051733.5,25.21,24.18,24.8,24.94,2904406672.0,2283212050.0,1.28,111.68,18.27,1.28,-0.08,2904406672.0,2283212050.0,27.8
603238,诺邦股份,11.23,-0.71,39727.0,44300026.0,11.38,10.81,11.31,11.31,1993426070.0,1993426070.0,2.24,38.32,16.06,2.24,0.0,1993426070.0,1993426070.0,27.8
300824,北鼎股份,7.3,1.67,45341.0,32614532.0,7.34,6.93,7.25,7.18,2382294279.0,2310525241.0,1.43,113.25,18.18,1.43,0.27,2382294279.0,2310525241.0,27.8
600455,博通股份,22.05,1.52,18525.0,40151890.0,22.2,21.0,21.67,21.72,1377198900.0,1377198900.0,2.97,25.63,20.23,2.97,-0.41,1377198900.0,1377198900.0,27.4
603787,新日股份,9.21,0.44,30840.0,27992000.0,9.25,8.8,9.06,9.17,2119624306.0,2119624306.0,1.34,39.52,21.05,1.34,0.33,2119624306.0,2119624306.0,27.4
300515,三德科技,13.05,-0.99,36565.0,47298127.0,13.25,12.64,13.11,13.18,2685096225.0,2632938964.0,1.81,47.52,20.26,1.81,-0.08,2685096225.0,2632938964.0,27.4
600661,昂立教育,7.03,0.72,81497.0,56948792.0,7.1,6.75,6.98,6.98,2014438275.0,2014438275.0,2.84,141.11,20.47,2.84,-0.14,2014438275.0,2014438275.0,27.4
603231,索宝蛋白,14.96,0.4,25570.0,38074793.0,15.36,14.45,14.88,14.9,2864228211.0,1589739091.0,2.41,60.0,22.53,2.41,0.07,2864228211.0,1589739091.0,27.4
