代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
000626,远大控股,6.5,2.69,96330.0,62202709.0,6.57,6.3,6.34,6.33,3293074616.0,3274124887.0,1.91,55.72,14.1,1.91,-0.15,3293074616.0,3274124887.0,28.2
600356,恒丰纸业,7.68,3.64,58497.0,44510006.0,7.75,7.4,7.4,7.41,2530840351.0,2294256983.0,1.96,70.72,11.12,1.96,0.13,2530840351.0,2294256983.0,28.2
000692,惠天热电,4.04,2.54,144829.0,58279307.6,4.1,3.9,3.93,3.94,2152645223.0,2152645223.0,2.72,83.63,10.91,2.72,0.25,2152645223.0,2152645223.0,28.2
002942,新农股份,14.64,2.16,21943.0,31948950.0,14.88,14.07,14.33,14.33,2276237741.0,2031418335.0,1.58,65.27,12.34,1.58,-0.2,2276237741.0,2031418335.0,28.2
002286,保龄宝,8.29,0.48,109131.0,89355648.4,8.36,7.98,8.22,8.25,3154903580.0,3064726519.0,2.95,35.5,14.57,2.95,0.12,3154903580.0,3064726519.0,28.2
603900,莱绅通灵,5.84,3.73,93817.0,54385940.0,5.92,5.62,5.64,5.63,2002908826.0,2001507226.0,2.74,132.4100554343,9.36,2.74,0.0,2002908826.0,2001507226.0,28.2
600738,丽尚国潮,3.68,2.22,120990.0,44229735.0,3.72,3.56,3.57,3.6,2801713668.0,2799251601.0,1.59,126.02,11.41,1.59,0.0,2801713668.0,2799251601.0,28.2
001395,亚联机械,23.53,0.99,8634.0,20254829.52,23.86,23.14,23.4,23.3,2668584360.0,1223712945.0,1.66,20.93,14.18,1.66,-0.13,2668584360.0,1223712945.0,28.2
603101,汇嘉时代,6.55,4.97,115848.0,74747704.0,6.61,6.23,6.24,6.24,3081120000.0,3081120000.0,2.46,31.76,11.96,2.46,0.0,3081120000.0,3081120000.0,28.2
002887,绿茵生态,10.37,-0.96,52073.0,53769564.0,10.66,10.11,10.44,10.47,3173093631.0,2252688726.0,2.4,21.54,19.7,2.4,-0.19,3173093631.0,2252688726.0,27.8
603238,诺邦股份,11.4,3.64,38664.0,43724731.0,11.57,10.94,10.98,11.0,2023602600.0,2023602600.0,2.18,23.2,16.3,2.18,0.18,2023602600.0,2023602600.0,27.8
603080,新疆火炬,19.2,3.78,22390.0,42853116.0,19.6,18.4,18.5,18.5,2716800000.0,2716800000.0,1.58,34.43,15.06,1.58,-0.1,2716800000.0,2716800000.0,27.8
000803,山高环能,7.0,3.24,116020.0,80184899.52,7.09,6.61,6.8,6.78,3264073071.0,3218514460.0,2.52,132.39,18.66,2.52,-0.14,3264073071.0,3218514460.0,27.8
300824,北鼎股份,7.37,2.65,52589.0,38486970.0,7.45,7.12,7.19,7.18,2405138196.0,2332680963.0,1.66,63.35,18.35,1.66,0.0,2405138196.0,2332680963.0,27.8
605033,美邦股份,17.11,2.82,19948.0,33867224.0,17.34,16.52,16.69,16.64,2313272000.0,2313272000.0,1.48,32.03,16.24,1.48,0.06,2313272000.0,2313272000.0,27.8
300452,山河药辅,12.1,3.6,47328.0,56467155.48,12.17,11.49,11.65,11.68,2836921049.0,2403419213.0,2.38,47.84,15.07,2.38,0.0,2836921049.0,2403419213.0,27.8
605259,绿田机械,17.88,-0.33,14440.0,25988616.0,18.18,17.78,17.96,17.94,3083942400.0,3083942400.0,0.84,31.95,17.15,0.84,-0.5,3083942400.0,3083942400.0,27.8
301283,聚胶股份,25.17,2.82,12455.0,30995191.95,25.5,24.22,24.47,24.48,2925326769.0,2299657755.0,1.36,144.63,18.4,1.36,0.24,2925326769.0,2299657755.0,27.8
300534,陇神戎发,7.41,4.66,87495.0,63697635.0,7.44,6.99,7.05,7.08,2247786450.0,2238201526.0,2.9,79.56,22.79,2.9,0.0,2247786450.0,2238201526.0,27.4
300515,三德科技,13.37,2.45,35644.0,47280995.0,13.57,12.95,13.13,13.05,2750937665.0,2697501452.0,1.77,28.2,20.76,1.77,0.0,2750937665.0,2697501452.0,27.4
603787,新日股份,9.3,2.31,30123.0,27937693.0,9.42,9.08,9.09,9.09,2140337247.0,2140337247.0,1.31,97.47,21.25,1.31,0.11,2140337247.0,2140337247.0,27.4
000407,胜利股份,3.76,1.62,156239.0,58819711.0,3.81,3.68,3.7,3.7,3309118307.0,3292913105.0,1.78,32.87,22.99,1.78,0.27,3309118307.0,3292913105.0,27.4
688501,青达环保,19.23,0.16,19697.0,38073713.0,19.98,18.96,19.01,19.2,2388865980.0,2388865980.0,1.59,88.16,21.13,1.59,0.05,2388865980.0,2388865980.0,27.4
603231,索宝蛋白,15.03,1.55,25544.0,38188050.0,15.18,14.6,14.71,14.8,2877630348.0,1597177709.0,2.4,56.56,22.64,2.4,0.07,2877630348.0,1597177709.0,27.4
000514,渝 开 发,3.69,3.07,160302.0,59282322.72,3.77,3.58,3.58,3.58,3113514861.0,3113514861.0,1.9,105.93,24.11,1.9,-0.27,3113514861.0,3113514861.0,27.4
300562,乐心医疗,14.4,6.59,211589.0,297249895.57,14.47,13.33,13.44,13.51,3148037107.0,2346574075.0,12.98,33.63,24.54,12.98,-0.28,3148037107.0,2346574075.0,27.112
002391,长青股份,5.06,3.9,93998.0,47043758.32,5.1,4.86,4.88,4.87,3286938303.0,2348337454.0,2.03,133.8,26.74,2.03,0.0,3286938303.0,2348337454.0,27.0
002576,通达动力,14.27,0.85,35468.0,50459965.0,14.47,13.98,14.07,14.15,2355977000.0,2312133438.0,2.19,23.88,26.87,2.19,0.07,2355977000.0,2312133438.0,27.0
000565,渝三峡Ａ,5.86,3.17,113813.0,66183546.82,5.94,5.64,5.68,5.68,2540850409.0,2540850409.0,2.62,85.5,25.57,2.62,0.0,2540850409.0,2540850409.0,27.0
603332,苏州龙杰,10.4,2.87,36235.0,37438354.0,10.53,10.05,10.18,10.11,2250010714.0,2250010714.0,1.67,32.67,29.09,1.67,0.0,2250010714.0,2250010714.0,27.0
