代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
688288,鸿泉技术,24.19,-4.01,42072.0,102588199.0,25.31,24.1,25.2,25.2,2414493500.0,2414493500.0,4.22,1126.742112403
300163,先锋新材,4.43,-0.67,180912.0,80353544.0,4.5,4.41,4.48,4.46,2099820000.0,2022721352.0,3.96,820.39
300535,达威股份,19.29,-0.36,34680.0,67417059.88,19.68,19.21,19.4,19.36,2064413157.0,1565596577.0,4.27,412.82
002828,贝肯能源,11.35,-0.26,175935.0,198110414.1,11.38,11.11,11.24,11.38,2281209260.0,2281209260.0,8.75,411.49
605567,春雪食品,11.17,0.0,54912.0,61744098.0,11.39,11.13,11.21,11.17,2234000000.0,2234000000.0,2.75,383.98
002696,百洋股份,6.83,-0.29,85511.0,58849817.7,6.94,6.83,6.85,6.85,2361501405.0,2282988410.0,2.56,366.36
002188,中天服务,7.1,-0.84,167981.0,120995858.0,7.35,7.07,7.17,7.16,2322437434.0,1827277350.0,6.53,353.07
600778,友好集团,6.88,-0.29,82414.0,56908041.0,6.96,6.85,6.96,6.9,2143060502.0,2141158388.0,2.65,316.27
688565,力源科技,13.24,1.92,33374.0,44321013.0,13.53,12.89,12.99,12.99,1982425200.0,1982425200.0,2.23,252.06
688193,仁度生物,58.16,0.57,13496.0,79611888.0,59.99,57.55,57.85,57.83,2330463639.0,2330463639.0,3.37,229.1237030192
688329,艾隆科技,24.39,2.69,21039.0,51034591.0,24.69,23.55,23.75,23.75,1882908000.0,1882908000.0,2.73,185.5256539009
002486,嘉麟杰,2.91,0.69,381063.0,111513690.78,2.98,2.88,2.91,2.89,2398663821.0,2387474580.0,4.64,142.47
688021,奥福科技,28.58,0.63,45181.0,128303106.0,28.9,27.9,28.23,28.4,2183904032.0,2183904032.0,5.91,133.455466734
300169,天晟新材,6.54,-0.61,122690.0,80608943.0,6.68,6.49,6.51,6.58,2131937584.0,1973352014.0,4.07,122.26
002524,光正眼科,4.47,0.9,175849.0,78738893.92,4.52,4.43,4.43,4.43,2303532136.0,2283046126.0,3.44,88.84
000702,正虹科技,6.96,-1.69,87221.0,61121413.36,7.11,6.95,7.09,7.08,2412509638.0,1855776649.0,3.27,78.09
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.0,1313280002.0,0.0,74.55
300605,恒锋信息,13.48,-0.81,72009.0,97174244.62,13.69,13.39,13.59,13.59,2226137912.0,1703637273.0,5.7,71.24
603879,永悦科技,6.03,1.34,86982.0,52468218.0,6.1,5.92,5.95,5.95,2166846973.0,2166846973.0,2.42,66.9054687697
301037,保立佳,16.73,1.83,51499.0,87124288.88,17.56,16.43,16.43,16.43,2326000107.0,1137602943.0,7.57,62.97
688189,南新制药,8.61,-0.69,91111.0,78677968.0,8.79,8.57,8.59,8.67,2362584000.0,2362584000.0,3.32,60.4911036293
002910,庄园牧场,11.43,0.18,67617.0,77832960.62,11.63,11.3,11.4,11.41,2235014736.0,1955238089.0,3.95,55.24
688681,科汇股份,21.03,2.34,34303.0,72123875.0,21.38,20.37,20.55,20.55,2201210100.0,2201210100.0,3.28,53.71
688659,元琛科技,11.84,-0.84,56706.0,67388160.0,12.12,11.59,11.94,11.94,1894400000.0,1894400000.0,3.54,49.64
603880,南卫股份,7.71,2.39,129655.0,99351377.0,7.79,7.45,7.53,7.53,2228513820.0,2228513820.0,4.49,46.66
600561,江西长运,7.03,0.57,77783.0,55005850.0,7.18,6.92,6.99,6.99,1999871904.0,1999871904.0,2.73,45.32
688004,博汇科技,24.07,1.82,21837.0,52252486.0,24.28,23.52,23.63,23.64,1927718160.0,1927718160.0,2.73,41.4321729026
301167,建研设计,17.82,-0.72,27491.0,49361435.05,18.14,17.77,17.94,17.95,1995840000.0,1264554797.0,3.87,39.36
600137,浪莎股份,23.25,0.22,34078.0,79638415.0,23.76,23.01,23.11,23.2,2260308921.0,2260308921.0,3.51,38.11
300886,华业香料,29.9,-0.53,15735.0,47490519.46,30.68,29.82,30.25,30.06,2236460200.0,1305024370.0,3.61,36.79
