代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
603080,新疆火炬,18.64,-0.75,22127.0,40831594.0,18.83,18.03,18.78,18.78,2637560000.0,2637560000.0,1.56,34.43,14.62,1.56,-0.05,2637560000.0,2637560000.0,28.2
603101,汇嘉时代,6.33,1.77,97038.0,60425672.0,6.37,6.0,6.25,6.22,2977632000.0,2977632000.0,2.06,31.76,11.55,2.06,0.0,2977632000.0,2977632000.0,28.2
600738,丽尚国潮,3.63,-0.82,103409.0,37419391.0,3.68,3.54,3.65,3.66,2763646907.0,2761218291.0,1.36,126.02,11.26,1.36,0.28,2763646907.0,2761218291.0,28.2
001395,亚联机械,23.28,-1.56,7636.0,17833698.95,23.98,22.81,23.64,23.65,2640231360.0,1210711320.0,1.47,20.93,14.03,1.47,0.3,2640231360.0,1210711320.0,28.2
001218,丽臣实业,22.61,-3.25,26660.0,60827230.76,23.65,22.26,23.21,23.37,2943330459.0,2669363054.0,2.26,47.99,9.53,2.26,0.22,2943330459.0,2669363054.0,28.2
000692,惠天热电,4.01,-0.99,145321.0,57866010.3,4.1,3.88,4.1,4.05,2136660234.0,2136660234.0,2.73,83.63,10.83,2.73,0.0,2136660234.0,2136660234.0,28.2
603900,莱绅通灵,5.73,1.78,86553.0,48866082.0,5.77,5.47,5.61,5.63,1965182803.0,1963807603.0,2.53,132.4100554343,9.18,2.53,0.35,1965182803.0,1963807603.0,28.2
002942,新农股份,14.6,0.07,16132.0,23255383.74,14.74,14.0,14.44,14.59,2270018512.0,2025868012.0,1.16,65.27,12.31,1.16,0.48,2270018512.0,2025868012.0,28.2
600356,恒丰纸业,7.54,-0.26,48868.0,36527563.0,7.61,7.28,7.55,7.56,2484705240.0,2252434590.0,1.64,70.72,10.92,1.64,0.0,2484705240.0,2252434590.0,28.2
003017,大洋生物,21.49,-0.65,21395.0,45585104.0,21.61,21.02,21.6,21.63,2166192000.0,1786798643.0,2.57,56.64,17.54,2.57,0.0,2166192000.0,1786798643.0,27.8
001228,永泰运,25.68,2.56,15542.0,38910178.0,25.98,24.23,24.86,25.04,2667243159.0,2050923159.0,1.95,21.73,19.3,1.95,0.0,2667243159.0,2050923159.0,27.8
603238,诺邦股份,11.23,-0.71,39727.0,44300026.0,11.38,10.81,11.31,11.31,1993426070.0,1993426070.0,2.24,23.2,16.06,2.24,0.0,1993426070.0,1993426070.0,27.8
300824,北鼎股份,7.3,1.67,45341.0,32614532.0,7.34,6.93,7.25,7.18,2382294279.0,2310525241.0,1.43,63.35,18.18,1.43,0.27,2382294279.0,2310525241.0,27.8
301283,聚胶股份,24.99,0.2,11728.0,29051733.5,25.21,24.18,24.8,24.94,2904406672.0,2283212050.0,1.28,144.63,18.27,1.28,-0.08,2904406672.0,2283212050.0,27.8
605259,绿田机械,17.68,-1.23,15417.0,27020776.0,17.87,17.27,17.82,17.9,3049446400.0,3049446400.0,0.89,31.95,16.96,0.89,0.74,3049446400.0,3049446400.0,27.8
002748,世龙实业,10.71,1.42,46393.0,49141388.0,10.84,10.2,10.55,10.56,2570400000.0,2570400000.0,1.93,120.12,16.7,1.93,0.09,2570400000.0,2570400000.0,27.8
000803,山高环能,6.68,-1.62,106974.0,71424897.6,6.82,6.49,6.8,6.79,3114858302.0,3071382370.0,2.33,132.39,17.8,2.33,0.15,3114858302.0,3071382370.0,27.8
