代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
605033,美邦股份,16.83,-0.88,20118.0,33604039.0,16.99,16.35,16.9,16.98,2275416000.0,2275416000.0,1.49,32.03,15.97,1.49,0.24,2275416000.0,2275416000.0,27.8
603787,新日股份,9.21,0.44,30840.0,27992000.0,9.25,8.8,9.06,9.17,2119624306.0,2119624306.0,1.34,97.47,21.05,1.34,0.33,2119624306.0,2119624306.0,27.4
300534,陇神戎发,7.24,4.17,80685.0,57339712.0,7.28,6.78,6.95,6.95,2196217800.0,2186852773.0,2.67,79.56,22.26,2.67,0.14,2196217800.0,2186852773.0,27.4
300515,三德科技,13.05,-0.99,36565.0,47298127.0,13.25,12.64,13.11,13.18,2685096225.0,2632938964.0,1.81,28.2,20.26,1.81,-0.08,2685096225.0,2632938964.0,27.4
000514,渝 开 发,3.67,0.0,85573.0,31182635.7,3.71,3.54,3.67,3.67,3096639442.0,3096639442.0,1.01,105.93,23.98,1.01,-0.27,3096639442.0,3096639442.0,27.4
000565,渝三峡Ａ,5.7,-1.21,106767.0,60433234.35,5.8,5.53,5.72,5.77,2471475654.0,2471475654.0,2.46,85.5,24.87,2.46,0.18,2471475654.0,2471475654.0,27.4
688501,青达环保,19.2,-5.14,29170.0,56662772.0,20.38,18.94,20.24,20.24,2385139200.0,2385139200.0,2.35,88.16,21.1,2.35,0.0,2385139200.0,2385139200.0,27.4
603231,索宝蛋白,14.96,0.4,25570.0,38074793.0,15.36,14.45,14.88,14.9,2864228211.0,1589739091.0,2.41,56.56,22.53,2.41,0.07,2864228211.0,1589739091.0,27.4
600455,博通股份,22.05,1.52,18525.0,40151890.0,22.2,21.0,21.67,21.72,1377198900.0,1377198900.0,2.97,36.43,20.23,2.97,-0.41,1377198900.0,1377198900.0,27.4
002593,日上集团,3.98,-0.25,154433.0,60860450.0,4.02,3.85,3.98,3.99,3199354955.0,2230807229.0,2.76,111.72,24.81,2.76,0.0,3199354955.0,2230807229.0,27.4
603332,苏州龙杰,10.34,-0.67,37627.0,38751658.0,10.51,10.03,10.2,10.41,2237029883.0,2237029883.0,1.74,32.67,28.92,1.74,0.1,2237029883.0,2237029883.0,27.0
301059,金三江,11.0,-1.61,35230.0,38589048.44,11.16,10.73,11.12,11.18,2542694000.0,2271614928.0,1.71,43.11,28.02,1.71,-0.09,2542694000.0,2271614928.0,27.0
002817,黄山胶囊,5.97,1.53,83371.0,48731392.02,6.0,5.62,5.87,5.88,1785616075.0,1731534591.0,2.87,31.94,25.71,2.87,0.34,1785616075.0,1731534591.0,27.0
